sequence,track_id,class_name,frames,first_frame,last_frame,mean_confidence,min_confidence,mean_area,max_center_jump_per_frame_px,mean_low_confidence_risk,mean_small_box_risk,mean_border_risk,mean_motion_jump_risk,mean_short_track_risk,mean_risk_score,max_risk_score,risk_rank,risk_level
1,1087,car,1,324,324,0.358816534280777,0.358816534280777,5491.702662896365,0.0,0.641183465719223,0.9519417082146344,1.0,0.0,1.0,0.6506842080727326,0.6506842080727326,1,high
1,83,car,1,24,24,0.4054028391838074,0.4054028391838074,5021.106840610504,0.0,0.5945971608161926,0.9562335261768458,1.0,0.0,1.0,0.6398959954394173,0.6398959954394173,2,medium
1,565,car,1,167,167,0.437483549118042,0.437483549118042,2069.6458942862246,0.0,0.562516450881958,0.9831507500541651,1.0,0.0,1.0,0.6372592627313226,0.6372592627313226,3,medium
1,1258,car,1,374,374,0.5565695762634277,0.5565695762634277,3603.856109523911,0.0,0.44343042373657227,0.9691588048482312,1.0,0.0,1.0,0.6046893669037894,0.6046893669037894,4,medium
1,1162,car,1,348,348,0.6108458638191223,0.6108458638191223,3542.2899515842996,0.0,0.3891541361808777,0.9697202861236622,1.0,0.0,1.0,0.5912325912699519,0.5912325912699519,5,medium
1,586,car,1,184,184,0.6918932795524597,0.6918932795524597,1789.3080115467296,0.0,0.3081067204475403,0.9857074220509232,1.0,0.0,1.0,0.5741681645220698,0.5741681645220698,6,medium
1,709,car,1,224,224,0.6960514187812805,0.6960514187812805,2872.165983802407,0.0,0.3039485812187195,0.975831794015646,1.0,0.0,1.0,0.5711535041078091,0.5711535041078091,7,medium
1,1260,person,1,375,375,0.7171079516410828,0.7171079516410828,16438.988101810217,0.0,0.28289204835891724,0.8521028357487318,1.0,0.0,1.0,0.5411435792394756,0.5411435792394756,8,medium
1,66,car,2,20,21,0.571318119764328,0.5117881298065186,2150.804455780657,5.656606680200923,0.428681880235672,0.9824105867218238,1.0,0.04289763050994896,0.5,0.5393769950307701,0.5654066685631574,9,medium
1,642,car,2,216,221,0.5829432308673859,0.5089663863182068,1799.2903011149035,1.455844558265877,0.41705676913261414,0.9856163839081182,1.0,0.011040591200905477,0.5,0.5291476168650036,0.5507047863252211,10,medium
1,9,truck,1,28,28,0.394939124584198,0.394939124584198,6494.644504040483,4.2118282355874195,0.605060875415802,0.9427949125886824,1.0,0.06388192131300234,0.1,0.5207946816999376,0.5207946816999376,11,medium
1,146,car,4,43,68,0.5183996111154556,0.4676924347877502,7048.818935164249,8.378591584711044,0.4816003888845444,0.9377408605443138,1.0,0.04527917406055042,0.25,0.5067680628451364,0.5287446994812629,12,medium
1,400,car,3,113,137,0.6410780946413676,0.5830422639846802,3981.6818509309082,5.482837838479446,0.3589219053586324,0.9657130468819156,1.0,0.031249308311774898,0.3333333333333333,0.490685412793985,0.5186652959777817,13,medium
1,578,car,1,174,174,0.4294444024562835,0.4294444024562835,1647.5356519455115,0.0,0.5705555975437164,0.9870003811692726,0.0,0.0,1.0,0.4900389756197836,0.4900389756197836,14,medium
1,218,car,6,70,97,0.5749095479647318,0.4870486259460449,2409.1853268646323,7.407045521944852,0.42509045203526813,0.9800541619277753,1.0,0.04939882208647852,0.16666666666666666,0.48963315091599174,0.5250560446470252,15,medium
1,28,car,1,14,14,0.441349446773529,0.441349446773529,1060.423022274858,0.0,0.558650553226471,0.9923548284689152,0.0,0.0,1.0,0.48813360400040084,0.48813360400040084,16,medium
1,555,car,2,165,166,0.7772106826305389,0.7373062968254089,5318.989748787136,6.217281563403807,0.22278931736946106,0.9535168441422747,1.0,0.047149583197419846,0.5,0.48318809397017515,0.5051720806434514,17,medium
1,810,truck,2,291,292,0.6944947838783264,0.6941099166870117,57928.5673398152,50.006857995874334,0.3055052161216736,0.4737192781699022,1.0,0.6376788273172503,0.017241379310344827,0.48312607339026314,0.5209541001035614,18,medium
1,513,car,4,159,162,0.6377474814653397,0.5813702940940857,3236.917281982285,7.852794918092777,0.36225251853466034,0.9725052745287871,1.0,0.04056815888404349,0.25,0.4827062242604334,0.5080389301441545,19,medium
1,1270,traffic light,1,379,379,0.474419891834259,0.474419891834259,1100.5968880166765,0.0,0.525580108165741,0.991988444173864,0.0,0.0,1.0,0.4797927158762081,0.4797927158762081,20,medium
