sequence,frame,image_name,track_id,class_id,class_name,confidence,x1,y1,x2,y2,latency_ms,width,height,area,cx,cy,prev_cx,prev_cy,prev_frame,center_jump_px,center_jump_per_frame_px,frame_gap,low_confidence_risk,small_box_risk,border_risk,motion_jump_risk,track_length,short_track_risk,risk_score
1,0,000000.png,1,2,car,0.8664520978927612,793.0208740234375,189.0677490234375,1229.956787109375,374.00244140625,48.4170460003952,436.9359130859375,184.9346923828125,80804.60867755115,1011.4888305664062,281.53509521484375,,,,0.0,0.0,1.0,0.13354790210723877,0.2650905558818737,1.0,0.0,5,0.2,0.2664050867031844
1,1,000001.png,1,2,car,0.8776997923851013,819.196044921875,198.84222412109372,1228.6829833984375,372.0574645996094,14.314129999547731,409.4869384765625,173.21524047851565,70929.37852102892,1023.9395141601562,285.44984436035156,1011.4888305664062,281.53509521484375,0.0,13.051619931025021,13.051619931025021,1.0,0.12230020761489868,0.355152320478219,1.0,0.197957397786586,5,0.2,0.33109486544601496
1,2,000002.png,1,2,car,0.8127663135528564,847.8716430664062,205.45452880859372,1237.885498046875,370.40234375,11.263946998951724,390.01385498046875,164.94781494140628,64331.93317590283,1042.8785705566406,287.9284362792969,1023.9395141601562,285.44984436035156,1.0,19.10055693140587,19.10055693140587,1.0,0.18723368644714355,0.4153207985989612,1.0,0.28970323732976583,5,0.2,0.3822983906640196
1,3,000003.png,1,2,car,0.8912178874015808,885.4722900390625,215.5178680419922,1242.0,370.23480224609375,11.87778300300124,356.5277099609375,154.71693420410156,55160.87424396537,1063.7361450195312,292.87633514404297,1042.8785705566406,287.9284362792969,2.0,21.4364203086892,21.4364203086892,1.0,0.10878211259841919,0.4989605454743131,1.0,0.32513189968705836,5,0.2,0.38827061216623204
1,4,000004.png,1,2,car,0.8106634020805359,959.2313232421876,247.9402008056641,1242.0,370.7361145019531,11.519218001922129,282.7686767578124,122.79591369628903,34722.83802716618,1100.6156616210938,309.3381576538086,1063.7361450195312,292.87633514404297,3.0,40.38675952720087,40.38675952720087,1.0,0.1893365979194641,0.6853547436240388,1.0,0.6125567449319228,5,0.2,0.5175442844376545
1,0,000000.png,2,2,car,0.8214637041091919,718.4440307617188,183.2103271484375,842.1199340820312,269.4544372558594,48.4170460003952,123.6759033203125,86.24411010742188,10666.318223591894,780.281982421875,226.33238220214844,,,,0.0,0.0,1.0,0.1785362958908081,0.9047493895428365,0.0,0.0,6,0.16666666666666666,0.25058395188126936
1,1,000001.png,2,2,car,0.7240036725997925,729.2760620117188,184.6837310791016,863.2852783203125,278.0967102050781,14.314129999547731,134.00921630859375,93.41297912597653,12518.200125723142,796.2806701660156,231.39022064208984,780.281982421875,226.33238220214844,0.0,16.779145962147904,16.779145962147904,1.0,0.2759963274002075,0.887860289310593,0.0,0.2544937784966007,6,0.16666666666666666,0.33519458433632066
1,2,000002.png,2,2,car,0.8198109269142151,740.5355224609375,183.3433532714844,892.241455078125,288.8621520996094,11.263946998951724,151.7059326171875,105.51879882812497,16007.827784866091,816.3884887695312,236.10275268554688,796.2806701660156,231.39022064208984,1.0,20.652659084304336,20.652659084304336,1.0,0.1801890730857849,0.8560350032377357,0.0,0.3132443843222839,6,0.16666666666666666,0.3195653649995644
1,3,000003.png,2,2,car,0.8767631649971008,756.277099609375,182.64964294433597,930.397216796875,303.2295227050781,11.87778300300124,174.1201171875,120.57987976074216,20995.382794395086,843.337158203125,242.93958282470703,816.3884887695312,236.10275268554688,2.0,27.802392533608305,27.802392533608305,1.0,0.12323683500289917,0.8105486704576484,0.0,0.42168629697157217,6,0.16666666666666666,0.32334051708514755
1,4,000004.png,2,2,car,0.8984183669090271,775.7648315429688,181.0826568603516,977.6947631835938,319.95166015625,11.519218001922129,201.929931640625,138.8690032958984,28041.808342542492,876.7297973632812,250.51715850830078,843.337158203125,242.93958282470703,3.0,34.24161216007494,34.24161216007494,1.0,0.1015816330909729,0.7462855080903605,0.0,0.5193516571159921,6,0.16666666666666666,0.3294904241698134
