sequence,frame,image_name,track_id,class_id,class_name,confidence,x1,y1,x2,y2,latency_ms
0005,0,000000.png,1,2,car,0.7918708920478821,255.7436981201172,174.30770874023438,302.62103271484375,201.10919189453125,43.04712299926905
0005,0,000000.png,2,2,car,0.4929727613925934,569.807861328125,173.45977783203125,609.6337890625,208.11134338378906,43.04712299926905
0005,0,000000.png,3,2,car,0.40526631474494934,321.16949462890625,177.81814575195312,354.98822021484375,196.89878845214844,43.04712299926905
0005,1,000001.png,1,2,car,0.6792474985122681,244.02001953125,174.67337036132812,291.5540466308594,201.7999267578125,16.213908998906845
0005,1,000001.png,2,2,car,0.46902206540107727,568.8942260742188,170.88902282714844,611.037841796875,207.6280517578125,16.213908998906845
0005,1,000001.png,3,2,car,0.4657784402370453,313.1014709472656,178.10806274414062,346.6136169433594,197.0399169921875,16.213908998906845
0005,2,000002.png,1,2,car,0.6494580507278442,231.7477264404297,173.82064819335938,280.72332763671875,201.6187286376953,12.603299001057167
0005,2,000002.png,2,2,car,0.3735143542289734,569.3698120117188,171.09974670410156,610.8121337890625,207.28395080566406,12.603299001057167
0005,2,000002.png,3,2,car,0.6055514812469482,306.02911376953125,177.40171813964844,340.0796203613281,196.66067504882812,12.603299001057167
0005,3,000003.png,1,2,car,0.5748676061630249,215.17340087890625,172.39129638671875,266.7403869628906,201.5185089111328,11.5252209980099
0005,3,000003.png,2,2,car,0.25348538160324097,568.8285522460938,170.2664337158203,611.4102172851562,207.60374450683594,11.5252209980099
0005,3,000003.png,3,2,car,0.45375722646713257,298.4813537597656,175.8418426513672,333.5927429199219,195.7073516845703,11.5252209980099
0005,4,000004.png,1,2,car,0.6245038509368896,197.4644317626953,170.16128540039062,253.14981079101562,201.5221710205078,11.186838000867283
0005,4,000004.png,2,2,car,0.4761258065700531,568.9263916015625,169.63743591308594,612.3665161132812,207.96368408203125,11.186838000867283
0005,4,000004.png,3,2,car,0.4741918742656708,287.0516662597656,174.54248046875,324.0059814453125,195.45660400390625,11.186838000867283
0005,5,000005.png,1,2,car,0.6047840118408203,179.20211791992188,170.49942016601562,236.1585693359375,202.20675659179688,11.770994002290536
0005,5,000005.png,2,2,car,0.47807466983795166,568.4896240234375,168.74647521972656,612.8551025390625,208.1779327392578,11.770994002290536
0005,5,000005.png,3,2,car,0.5300204157829285,273.8351745605469,173.95504760742188,312.1859436035156,195.78298950195312,11.770994002290536
0005,6,000006.png,1,2,car,0.5588887333869934,167.65721130371094,170.41818237304688,225.17041015625,202.66322326660156,11.590522997721564
0005,6,000006.png,2,2,car,0.46806931495666504,568.7493286132812,168.71917724609375,612.324951171875,207.68739318847656,11.590522997721564
0005,6,000006.png,3,2,car,0.5309142470359802,264.550048828125,173.82713317871094,304.43743896484375,196.21829223632812,11.590522997721564
0005,6,000006.png,14,2,car,0.5809475183486938,162.23240661621094,169.001220703125,211.8562469482422,202.9887237548828,11.590522997721564
0005,7,000007.png,2,2,car,0.5183404684066772,569.7439575195312,169.51174926757812,611.6826171875,207.2596435546875,11.44211000064388
